"","BBAS3 ","BBDC3 ","",""
"436","25.75","11.573","1.57467075365274","OpenRight"
"437","25.51","11.606","1.57467075365274","OpenRight"
"438","25.78","11.61","1.57467075365274","OpenRight"
"439","26.55","11.972","1.57467075365274","OpenRight"
"440","26.863740994159","12.160108691762","1.57467075365274","OpenRight"
"441","26.99","12.113","1.57467075365274","OpenRight"
"442","27.44","12.174","1.57467075365274","OpenRight"
"443","27.7","12.325","1.57467075365274","OpenRight"
"444","27.57","12.499","1.57467075365274","OpenRight"
"445","28.2","12.551","1.57467075365274","OpenRight"
"446","28.84","12.701","1.57467075365274","OpenRight"
"447","29.25","13.138","1.57467075365274","OpenRight"
"448","29.6","13.232","1.57467075365274","OpenRight"
"449","29.81","13.491","1.57467075365274","OpenRight"
"450","29.5","13.505","1.57467075365274","OpenRight"
"451","29.89","13.585","1.57467075365274","OpenRight"
"452","29.26","13.298","1.57467075365274","OpenRight"
"453","29.1","13.068","1.57467075365274","OpenRight"
"454","29.52","12.95","1.57467075365274","OpenRight"
"455","30","13.044","1.57467075365274","OpenRight"
"456","30.57","13.26","1.57467075365274","OpenRight"
"457","31.23","13.702","1.57467075365274","OpenRight"
"458","30.65","13.448","1.57467075365274","OpenRight"
"459","30.32","13.538","1.57467075365274","OpenRight"
"460","30.85","14.055","1.57467075365274","OpenRight"
"461","30.45","13.702","1.57467075365274","OpenRight"
"462","29.7","13.246","1.57467075365274","OpenRight"
"463","30.25","13.491","1.57467075365274","OpenRight"
"464","30.88","13.632","1.57467075365274","OpenRight"
"465","30.8098497701423","13.4923497196976","1.57467075365274","OpenRight"
"466","31.4","13.763","1.57467075365274","OpenRight"
"467","32.4","14.243","1.57467075365274","OpenRight"
"468","32.05","14.29","1.57467075365274","OpenRight"
"469","31.24","13.965","1.57467075365274","OpenRight"
"470","31.39","14.078","1.57467075365274","OpenRight"
"471","30.43","13.679","1.57467075365274","OutRight"
"472","30.45","13.632","1.57467075365274","Fora"
"473","31.05","13.961","1.57467075365274","Fora"
"474","30.4","13.796","1.57467075365274","Fora"
"475","30.07","13.66","1.57467075365274","Fora"
"476","29.1","13.26","1.57467075365274","OpenLeft"
"477","27.1","12.856","1.57467075365274","OpenLeft"
"478","29.15","13.538","1.57467075365274","OpenLeft"
"479","28.21","13.152","1.57467075365274","OpenLeft"
"480","28.0236931735688","13.2862196387245","1.57467075365274","OpenLeft"
"481","29.08","13.397","1.57467075365274","OpenLeft"
"482","29.95","13.289","1.57467075365274","OutLeft"
"483","29.95","13.397","1.57467075365274","Fora"
"484","29.65","13.345","1.57467075365274","Fora"
"485","30.9","13.632","1.57467075365274","OpenRight"
"486","31.24","13.702","1.57467075365274","OpenRight"
"487","31.12","13.702","1.57467075365274","OpenRight"
"488","31.07","13.35","1.57467075365274","OpenRight"
"489","32","13.495","1.57467075365274","OpenRight"
"490","31.9","13.956","1.57467075365274","OpenRight"
"491","31.9","13.984","1.57467075365274","OpenRight"
"492","30.9","14.008","1.57467075365274","OutRight"
"493","30.65","13.726","1.57467075365274","Fora"
"494","30.7396831356191","13.554411976337","1.57467075365274","Fora"
"495","30.88","13.815","1.57467075365274","Fora"
"496","30.8","13.937","1.57467075365274","Fora"
"497","30.83","13.984","1.57467075365274","Fora"
"498","30.19","13.669","1.57467075365274","Fora"
"499","30.78","13.806","1.57467075365274","Fora"
"500","30.9","13.683","1.57467075365274","Fora"
"501","30.73","14.102","1.57467075365274","Fora"
"502","30.4","14.327","1.57467075365274","OpenLeft"
"503","30.5","14.29","1.57467075365274","OpenLeft"
"504","30.31","14.356","1.57467075365274","OpenLeft"
"505","31.1","14.525","1.57467075365274","OpenLeft"
"506","30.9","14.435","1.57467075365274","OpenLeft"
"507","30.67","14.417","1.57467075365274","OpenLeft"
"508","30.69","14.567","1.57467075365274","OpenLeft"
"509","30.78","14.736","1.57467075365274","OpenLeft"
"510","31","14.572","1.57467075365274","OpenLeft"
"511","31","14.647","1.57467075365274","OpenLeft"
"512","30.65","14.29","1.57467075365274","OpenLeft"
"513","29.45","13.9","1.57467075365274","OpenLeft"
"514","29.6","13.806","1.57467075365274","OpenLeft"
"515","29.2","13.82","1.57467075365274","OpenLeft"
"516","28.95","13.918","1.57467075365274","OpenLeft"
"517","29.01","13.777","1.57467075365274","OpenLeft"
"518","29.1356515942413","13.6551527987613","1.57467075365274","OpenLeft"
"519","29.2272866337815","13.6194435440266","1.57467075365274","OpenLeft"
"520","29.01","13.768","1.57467075365274","OpenLeft"
"521","28.95","13.871","1.57467075365274","OpenLeft"
"522","29.7","14.097","1.57467075365274","OpenLeft"
"523","30.0676885205479","14.0834740521804","1.57467075365274","OpenLeft"
"524","29.7","14.097","1.57467075365274","OpenLeft"
"525","29.9","14.572","1.57467075365274","OpenLeft"
"526","29.6","14.365","1.57467075365274","OpenLeft"
"527","29.64","14.28","1.57467075365274","OpenLeft"
"528","29.65","14.247","1.57467075365274","OpenLeft"
"529","29.82","14.266","1.57467075365274","OpenLeft"
"530","30.05","14.219","1.57467075365274","OpenLeft"
"531","29.8","14.29","1.57467075365274","OpenLeft"
"532","30.18","14.384","1.57467075365274","OpenLeft"
